id,intervention
1,0
2,0
3,0.996483501
4,0
5,0
6,0
7,0
8,0.861010326
9,0
10,0.979832401
11,0.996172502
12,0
13,0.993894281
14,0.981248042
15,0.99998683
16,0
17,0
18,0.979680576
19,0.999855222
20,0
21,0
22,0
23,0.979680576
24,0.981366318
25,0.994293095
26,0
27,0
28,0.999026898
29,0
30,0.996913781
31,0
32,0.981580092
33,0.999855222
34,0.996084067
35,0
36,0.996051425
37,0
38,0.980314284
39,0.997501599
40,0
41,0
42,0
43,0.979680576
44,0
45,0.979680576
46,0.979229916
47,0.893399249
48,0
49,0.99877421
50,0.979680576
51,0.99998683
52,0
53,0
54,0.989380998
55,0.946763458
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0.999855222
64,0
65,0
66,0
67,0
68,0
69,0.99877421
70,0
71,0
72,0.997134821
73,0
74,0.979832401
75,0.979680576
76,0
77,0.995573615
78,0
79,0.996829052
80,0.979680576
81,0.979680576
82,0
83,0
84,1
85,0
86,0.991416167
87,0
88,0
89,0
90,0.897957255
91,0
92,0.993894281
93,0
94,0
95,0.987998978
96,0
97,0.980803483
98,0.998434741
99,0.993774412
100,0.993747158
101,0
102,0.979680576
103,0.99877421
104,0.9941821
105,0
106,0
107,0
108,0
109,0.996235892
110,0
111,1
112,0.997686447
113,0.987997816
114,0
115,0
116,0.984687779
117,0.995584607
118,0
119,0.979680576
120,0
121,0
122,0
123,0
124,0.998406147
125,0.99998683
126,0.980803483
127,0
128,0
129,0.981580092
130,0
131,0
132,0
133,0
134,0.984225516
135,0.99998683
136,0
137,0
138,0
139,0
140,0.979680576
141,0
142,0.996549531
143,0.993779036
144,0.979680576
145,0.996751184
146,0
147,0.9977219
148,0.998585599
149,0.897957255
150,0
151,0
152,0
153,0
154,0.998354315
155,0
156,0
157,1
158,0
159,0.979832401
160,0
161,0.881743138
162,0
163,0
164,0
165,0.981606367
166,0
167,0.984198643
168,0.99674078
169,0.979709507
170,0
171,0.979680576
172,0
173,0
174,0.979680576
175,0.906098892
176,0
177,0
178,0.999855222
179,0.979680576
180,0.993894281
181,0.998748002
182,0.996084067
183,0
184,0.979680576
185,0.979680576
186,0
187,0.993894281
188,0.946934184
189,0.981310936
190,0
191,0
