id,count
0,86.615
1,245.59
2,106.4
4,32.74
5,133.01666666666665
10,126.05
11,237.87
12,371.12
15,45.45
17,184.57
18,296.28
23,245.09
25,136.33
26,45.9
31,198.53
39,124.28
40,29.25
41,212.23
42,393.32
43,139.01
51,174.28
52,100.85
54,17.83
60,123.91
61,156.29
62,102.545
63,25.14
65,86.42
66,124.23
68,192.06
71,99.26
80,32.69
82,66.65
94,141.82
98,252.51
101,39.15
102,169.79
107,153.94
112,262.99
113,96.91
115,57.72
116,110.84
120,159.22
121,51.99
122,324.52
132,206.93200000000002
143,101.58
147,59.85
150,15.39
151,93.26
152,200.15
153,96.99
155,197.27
156,148.4
159,161.56
161,135.96
163,44.44
177,155.93
186,18.58
188,16.97
190,103.4
191,88.97
192,276.82
195,307.38
200,138.31
209,320.04
210,16.62
211,224.58
214,229.43666666666664
215,26.11
218,106.26
219,31.33
222,181.87
225,16.64
228,315.72
236,168.85
241,40.25
242,240.92
243,148.19
245,16.266666666666666
247,245.48
251,169.96
252,71.965
253,86.55
254,93.86
258,302.55
260,49.81
261,150.13
265,84.28
266,277.63
267,330.47
269,164.88
270,62.39
275,99.28
278,45.84
279,97.12
286,104.74
287,28.02
288,254.12
289,136.715
293,19.43
294,183.22
297,44.32
302,127.73
303,91.105
304,110.77
307,103.62
309,16.836666666666666
311,160.06
312,146.65
314,200.76
315,184.97
319,137.62833333333333
322,110.2
323,55.82
325,146.68
327,239.52
330,45.88
332,174.64
333,16.32
338,99.45
341,101.94
345,218.97
348,125.71
349,44.27
350,126.86
352,57.07
355,19.366666666666667
356,184.31
358,60.09
363,153.16
369,126.24
371,19.4
372,141.11
375,298.15
380,138.5
388,32.59
391,149.38
392,274.18
393,365.62
394,230.69
396,27.36
401,39.06
407,96.62
409,97.39
410,127.95
416,131.14
418,128.92
420,147.74
421,214.49
422,135.98
424,290.66
428,367.32
429,249.18
431,220.49666666666664
435,20.216666666666665
439,108.13
441,19.44
447,85.29
449,218.31
451,182.42
452,15.656666666666665
454,206.18
458,246.43
463,149.06
467,15.43
470,271.27
471,146.605
474,286.33
478,13.88
483,128.03
484,179.36
485,96.99
486,137.85
491,102.31
494,91.6
495,251.44
497,219.10666666666665
499,238.57
515,134.19
518,211.72
521,218.85
525,157.18
529,257.71
532,135.66
534,88.07
540,83.45
544,311.34
547,138.32
549,33.66
563,46.42
564,156.25
567,129.78
572,133.23
577,144.27
578,241.39
585,384.7
588,215.34
589,145.66
590,100.17
592,16.8
594,293.67
596,17.83
598,398.4
599,124.08
605,33.9
606,128.18
607,277.72
608,202.3475
609,50.86
610,290.68
611,220.11
614,202.03
615,199.04
616,246.78
617,152.91
618,255.29
624,128.67
629,149.84
631,87.89
633,86.615
637,27.4
638,102.38
643,71.67
644,136.41
645,44.5
646,211.67666666666665
648,161.99
650,37.68
651,230.82
652,278.6
656,135.93
657,15.8
659,106.08
660,245.98
662,101.28
665,342.5
675,329.62
681,136.96
682,242.91
685,16.813333333333336
686,145.39
689,25.68
696,141.42
703,147.43
704,103.47
705,198.63666666666666
714,244.68
717,105.22
718,13.88
720,57.72
721,220.73
723,217.02
726,225.41
728,152.87
730,236.02
731,27.04
734,343.99
737,94.36
738,15.79
745,255.21
746,27.04
749,236.41
752,25.72
753,197.29
758,227.26
765,18.26
766,223.25
768,93.26
769,183.2
774,171.03
775,89.04
781,65.31
784,338.76
794,15.42
795,290.3
796,84.88
802,215.35
803,232.29
805,44.27
806,284.5
807,100.15
809,15.46
810,207.9
812,232.09
814,128.27
818,255.66
819,148.89
825,61.3
836,129.82
839,165.17
847,272.83
848,232.56
851,146.74
852,132.19
853,33.52
857,175.56
858,43.42
859,249.02
861,33.1
867,105.03
870,250.52
871,200.13
872,218.31
874,369.34
881,148.83
886,130.78
890,57.93
895,140.73
899,86.55
900,279.96
901,255.96
902,212.8
903,45.34
913,252.23
918,161.71
923,192.351
924,47.08
926,26.35
927,20.73
930,219.55
934,28.8
937,140.33
939,214.55
941,91.98
942,402.98
946,288.54
950,102.26
953,89.88
959,77.46
961,23.55
962,76.46
964,70.17
969,214.88
971,111.15
976,45.97
978,253.0
980,256.92
981,206.22
990,383.95
993,16.22
996,16.95
998,342.28
999,202.23
1006,105.01
1008,18.01
1013,24.9
1015,107.23428571428572
1016,137.22
1022,326.39
1026,216.86
1028,235.56
1031,100.71
1034,49.81
1037,187.98
1040,62.39
1042,17.24
1046,15.8
1048,108.37
1049,106.17
1050,57.3
1051,191.93
1052,237.65
1055,230.95
1060,134.89
1064,25.72
1066,74.2
1071,104.93
1073,15.31
1089,160.06
1091,128.62
1092,57.27
1093,247.87
1096,331.91
1097,228.62
1098,18.2
1099,43.42
1102,212.2
1107,101.3
1109,45.39
1111,199.24
1112,110.41
1114,301.29
1116,287.03
1117,148.65
1118,102.04
1122,181.62
1124,142.76
1127,127.89
1133,254.23
1134,45.9
1135,219.9
1139,312.15
1143,65.52
1150,130.32
1151,92.59
1153,292.02
1155,27.37
1162,23.0
1163,187.91
1166,21.24
1171,83.75
1172,16.28333333333333
1173,224.51
1174,91.105
1177,106.76
1178,214.25
1184,225.36
1185,103.285
1186,129.82
1187,187.88
1188,274.68
1191,141.46
1207,100.63
1213,43.42
1215,139.34
1223,258.69
1227,102.08
1236,66.38
1237,56.64
1238,20.27
1241,24.44
1248,13.72
1250,44.86
1251,131.61
1253,123.11
1255,106.13
1257,258.69
1261,128.21
1262,364.54
1265,172.85
1273,156.68
1277,279.78
1278,140.17
1280,129.18
1284,234.73
1285,343.1
1288,33.9
1295,97.7
1297,400.26
1299,229.41
1304,147.77
1308,46.42
1310,103.9
1311,147.69
1314,96.91
1315,101.57
1318,44.5
1320,336.84
1321,295.48
1322,250.43
1330,118.17
1333,146.75
1334,223.84
1341,172.88
1344,175.25
1351,251.55
1354,99.24
1356,66.32
1363,100.15
1365,209.05
1369,145.85
1373,129.78
1375,99.94
1377,86.55
1379,221.11
1380,293.19
1381,97.76
1384,178.29
1390,200.2
1393,239.21
1395,64.37
1399,342.62
1400,96.09
1401,180.02
1404,120.66
1408,15.05
1409,30.45
1413,218.15
1416,278.73
1418,100.69
1423,104.74
1424,27.43
1425,15.43
1433,177.49
1434,175.87
1436,331.14
1442,257.78
1444,86.55
1445,150.33
1452,170.88
1455,142.96
1462,66.65
1467,86.045
1472,42.32
1475,236.76
1493,123.35
1501,198.36
1503,308.23
1504,229.53
1505,16.33
1511,171.26
1512,60.8
1513,125.37
1514,39.19
1528,189.73
1533,237.01
1534,24.67
1536,146.89
1537,52.0725
1539,256.21
1550,229.48
1552,212.255
1554,198.59
1555,379.17
1556,94.44
1559,37.61
1563,210.6
1566,200.57
1567,215.28
1568,22.68
1571,232.04
1572,15.22
1574,57.3
1577,17.83
1583,126.0
1585,34.18
1586,201.19
1587,222.45
1596,139.45
1602,45.34
1604,86.615
1605,42.9
1610,303.57
1611,97.6
1616,33.9
1617,98.0
1618,16.81
1622,35.19
1623,33.89
1628,312.32
1631,14.46
1632,137.13
1633,242.17
1634,338.66
1636,245.73
1637,102.165
1643,175.44
1644,104.78
1646,103.36
1648,182.08833333333337
1651,43.47
1656,19.68933333333333
1658,125.8
1659,17.726666666666667
1665,230.36
1666,149.51
1670,45.43
1674,202.3475
1679,256.1
1680,253.48
1683,330.61
1686,24.38
1691,99.17
1693,40.35
1696,40.29
1697,100.02
1703,100.55
1706,27.41
1709,215.8
1710,86.55
1712,194.21
1713,132.68
1718,400.45
1719,200.18
1722,274.55
1723,120.09
1724,293.3
1728,84.65
1730,27.72
1732,25.2
1737,45.24
1745,86.31
1747,16.84
1748,16.08
1755,128.34
1759,13.88
1761,287.03
1764,232.5
1765,132.97
1766,87.85
1768,100.34
1770,23.1
1771,143.37
1774,92.24
1785,160.28
1788,215.55
1792,13.42
1794,219.6
1797,144.71
1798,12.67
1799,234.4
1802,102.0
1806,44.45
1808,80.86
1810,204.23
1818,192.45
1819,396.08
1820,278.53
1822,243.29
1826,244.57
1827,194.71
1835,19.33
1841,91.94
1842,136.16
1843,15.5
1846,37.66
1849,90.01
1850,167.09
1851,225.31
1857,63.97
1858,199.97799999999998
1860,96.45
1861,231.04
1864,127.91
1869,330.74
1871,66.38
1872,37.92
1875,16.416666666666664
1878,219.54
1879,262.58
1885,82.52
1888,86.52
1889,25.63
1890,100.54
1896,177.44
1897,181.48
1898,167.54
1900,88.99
1905,45.43
1908,106.42
1909,102.17
1913,57.72
1918,126.44
1922,323.85
1923,135.93
1925,293.32
1926,160.45
1927,305.77
1930,199.0
1935,96.91
1939,109.82
1942,91.78
1943,198.69
1948,237.01
1949,280.58
1951,106.8425
1953,91.64
1959,169.95
1963,13.32
1967,132.56
1973,281.5
1975,27.48
1976,93.18
1990,94.14
1993,125.14
1997,221.9
1999,142.71
2001,296.49
2004,94.47
2010,105.415
2013,138.57
2017,320.01
2021,135.83
2023,215.92
2026,146.29
2037,39.19
2039,238.0
2041,16.62
2046,19.17
2050,15.31
2060,230.01
2067,112.03
2069,132.71
2072,255.04
2074,181.01
2079,118.4
2083,26.85
2085,236.68
2087,18.72
2093,141.18
2094,38.68
2097,45.43
2103,96.38
2104,62.39
2107,210.98
2108,22.44
2110,82.07
2115,255.21
2117,33.32
2125,331.66
2127,222.19
2133,13.76
2134,383.57
2135,131.19
2141,233.34
2143,43.47
2145,88.83
2146,30.73
2147,297.04
2148,66.65
2149,52.66
2165,126.39
2166,189.11
2177,225.41
